"id","number","name","fate"
"191","2500","山西证券","5.77"
"192","2449","国星光电","9.1"
"193","2432","九安医疗","35.26"
"194","2426","胜利精密","2.34"
"195","2335","科华数据","37.79"
"196","2334","英威腾","11.07"
"197","2333","罗普斯金","6.22"
"198","2289","ST宇顺","5.38"
"199","2256","兆新股份","2.5"
"200","2252","上海莱士","7.57"
"201","2237","恒邦股份","11.95"
"202","2117","东港股份","10.59"
"203","2081","金螳螂","4.61"
"204","2030","达安基因","9.77"
"205","1218","丽臣实业","23.52"
"206","922","佳电股份","14.22"
"207","810","创维数字","15.68"
"208","790","华神科技","5.14"
"209","36","华联控股","4.08"
"210","688687","凯因科技","25.85"
"211","688661","和林微纳","74.77"
"212","688400","凌云光","28.91"
"213","603903","中持股份","9.22"
"214","603577","汇金通","9.6"
"215","603227","雪峰科技","8.5"
"216","603190","亚通精工","30.37"
"217","601137","博威合金","15.29"
"218","600647","*ST同达","14.57"
"219","600435","北方导航","10.98"
"220","600302","标准股份","5.4"
"221","600297","广汇汽车","2.07"
"222","600076","康欣新材","2.72"
"223","301419","阿莱德","43.31"
"224","301308","江波龙","110.93"
"225","301272","英华特","67"
"226","301137","哈焊华通","16.65"
"227","301113","雅艺科技","30"
"228","301023","江南奕帆","43.34"
"229","301013","利和兴","13.6"
"230","300999","金龙鱼","40.13"
"231","300994","久祺股份","15.61"
"232","300989","蕾奥规划","23.73"
"233","300983","尤安设计","32.25"
"234","300962","中金辐照","17.7"
"235","300851","交大思诺","27.55"
"236","300831","派瑞股份","13.08"
"237","300824","北鼎股份","9.97"
"238","300817","双飞股份","16.54"
"239","300809","华辰装备","20.75"
"240","300785","值得买","25.81"
"241","300777","中简科技","41.71"
"242","300683","海特生物","41.24"
"243","300674","宇信科技","17.05"
"244","300666","江丰电子","64.9"
"245","300644","南京聚隆","18.47"
"246","300623","捷捷微电","18.75"
"247","300594","朗进科技","24.25"
"248","300500","启迪设计","17.98"
"249","300427","*ST红相","8.12"
"250","300402","宝色股份","21.11"
"251","300397","天和防务","10.97"
"252","300314","戴维医疗","17.94"
"253","300271","华宇软件","10.15"
"254","300236","上海新阳","38.05"
"255","300233","金城医药","19.31"
"256","300201","海伦哲","3.79"
"257","300167","ST迪威迅","2.82"
"258","300121","阳谷华泰","9.78"
"259","300083","创世纪","6.84"
"260","300072","海新能科","3.5"
"261","300066","三川智慧","5.21"
"262","300054","鼎龙股份","23.23"
"263","300036","超图软件","21.74"
"264","3041","真爱美家","16.03"
"265","3027","同兴环保","21.33"
"266","2997","瑞鹄模具","33.59"
"267","2980","华盛昌","34.09"
"268","2966","苏州银行","6.72"
"269","2956","西麦食品","15.29"
"270","2955","鸿合科技","21.18"
"271","2939","长城证券","8.27"
"272","2922","伊戈尔","16.01"
"273","2897","意华股份","41.64"
"274","2891","中宠股份","24.83"
"275","2816","*ST和科","9.73"
"276","2698","博实股份","18.01"
"277","2687","乔治白","4.9"
"278","2670","国盛金控","9.12"
"279","2663","普邦股份","1.89"
"280","2637","赞宇科技","11.05"
"281","2585","双星新材","11.39"
"282","2580","圣阳股份","9.55"
"283","2440","闰土股份","6.84"
"284","2438","江苏神通","11.21"
"285","2428","云南锗业","14.63"
"286","2419","天虹股份","6.2"
"287","2371","北方华创","276.63"
"288","2353","杰瑞股份","26.81"
"289","2347","泰尔股份","5.81"
"290","2316","亚联发展","5.86"
"291","2314","南山控股","3.41"
"292","2271","东方雨虹","27.14"
"293","2246","北化股份","9.42"
"294","2239","奥特佳","2.69"
"295","2164","宁波东力","6.13"
"296","2163","海南发展","10.11"
"297","2152","广电运通","11.55"
"298","2144","宏达高科","11.46"
"299","2090","金智科技","12.03"
"300","2085","万丰奥威","6.71"
"301","2060","粤水电","6.37"
"302","2055","得润电子","10.33"
"303","2012","凯恩股份","6.34"
"304","2007","华兰生物","21.67"
"305","1872","招商港口","17.14"
"306","1282","三联锻造","31.76"
"307","1260","坤泰股份","22.76"
"308","1206","依依股份","14.86"
"309","973","佛塑科技","4.63"
"310","950","重药控股","6.09"
"311","913","钱江摩托","17.03"
"312","892","欢瑞世纪","4.18"
"313","851","高鸿股份","5.44"
"314","828","东莞控股","9.32"
"315","791","甘肃能源","5.58"
"316","738","航发控制","23.25"
"317","603","盛达资源","14.22"
"318","564","ST大集","1.14"
"319","530","冰山冷热","5.75"
"320","426","兴业银锡","9.55"
"321","400","许继电气","23.36"
"322","46","*ST泛海","1.16"
"323","42","中洲控股","7.71"
"324","19","深粮控股","7.65"
"325","688638","誉辰智能","70.9"
"326","688291","金橙子","37.41"
"327","688253","英诺特","23.72"
"328","605567","春雪食品","12.77"
"329","605399","晨光新材","16.97"
"330","605389","长龄液压","28.7"
"331","605288","凯迪股份","43.11"
"332","605166","聚合顺","9.63"
"333","605099","共创草坪","24.45"
"334","605098","行动教育","43.94"
"335","605016","百龙创园","24.58"
"336","603978","深圳新星","17.84"
"337","603955","大千生态","17.04"
"338","603929","亚翔集成","16.8"
"339","603927","中科软","35.48"
"340","603798","康普顿","11.38"
"341","603706","东方环宇","15.67"
"342","603338","浙江鼎力","59.64"
"343","603327","福蓉科技","12.33"
"344","603167","渤海轮渡","7.16"
"345","603113","金能科技","8.41"
